ag0000014706.fit 2022-11-19 03:30:24.086 PLATE_A 728.000  768.200  735.300  346.200  845.000  577.000  323.800  675.800  562.700  564.600  319.600  443.300  548.000  305.000  502.500  822.100 
ag0000014710.fit 2022-11-19 03:38:17.569 PLATE_A 718.800  763.000  724.300  349.000  845.000  577.000  314.700  670.600  553.500  559.300  319.600  443.300  548.000  305.000  493.300  816.800 
ag0000014719.fit 2022-11-19 04:33:16.563 PLATE_A 722.100  761.700  727.600  347.900  845.000  577.000  318.000  669.400  556.800  558.000  319.600  443.300  548.000  305.000  496.600  815.500 
ag0000014731.fit 2022-11-19 05:36:55.560 PLATE_A 725.300  761.500  730.800  347.600  845.000  577.000  321.300  669.200  560.000  557.900  319.600  443.300  548.000  305.000  499.700  815.400 
ag0000014919.fit 2022-11-20 06:09:33.529 PLATE_A 728.400  771.400  734.100  357.400  845.000  577.000  324.100  679.000  563.000  567.700  319.600  443.300  548.000  305.000  502.800  825.300 
ag0000014923.fit 2022-11-21 21:26:11.299 PLATE_B 739.900  799.300  939.800  440.100  432.600  516.900  452.000  704.200  772.900  283.100  548.400  318.800  927.800  672.000  696.500  539.700 
ag0000014990.fit 2022-11-24 00:47:48.342 PLATE_A 718.100  775.800  723.500  362.000  845.000  577.000  314.100  683.500  552.800  572.100  319.600  443.300  548.000  305.000  492.600  829.500 
ag0000015142.fit 2022-11-25 01:17:07.053 PLATE_A 725.900  766.900  731.300  353.100  845.000  577.000  321.800  674.600  560.600  563.300  319.600  443.300  548.000  305.000  500.300  820.700 
ag0000015144.fit 2022-11-25 01:21:38.243 PLATE_A 715.800  773.600  721.300  359.600  845.000  577.000  311.400  681.100  550.400  569.900  319.600  443.300  548.000  305.000  490.100  827.400 
ag0000015175.fit 2022-11-25 05:56:44.234 PLATE_A 726.600  770.900  732.100  356.900  845.000  577.000  322.400  678.400  561.200  567.200  319.600  443.300  548.000  305.000  501.000  824.700 
ag0000015177.fit 2022-11-25 19:40:18.988 PLATE_B 737.500  799.000  937.500  439.900  430.300  516.600  452.000  704.200  770.500  282.900  546.000  318.500  925.400  671.600  694.000  539.400 
ag0000015180.fit 2022-11-25 19:46:35.922 PLATE_B 737.500  799.000  937.500  439.900  541.500  492.200  452.000  704.200  770.500  282.900  546.000  318.500  925.400  671.600  694.000  539.400 
ag0000015182.fit 2022-11-25 19:47:36.975 PLATE_B 701.500  791.300  898.900  431.200  392.600  511.800  452.000  704.200  730.900  275.600  506.500  312.900  888.300  662.400  760.600  482.400 
ag0000015183.fit 2022-11-25 19:48:00.777 PLATE_B 701.500  791.400  898.900  431.100  392.500  511.800  452.000  704.200  760.700  216.200  506.400  312.900  888.200  662.500  656.100  532.000 
ag0000015184.fit 2022-11-25 19:51:57.739 PLATE_B 701.500  791.400  898.900  431.100  392.500  511.800  452.000  704.200  730.900  275.600  506.400  312.900  888.200  662.600  656.100  532.000 
ag0000015194.fit 2022-11-25 23:05:57.506 PLATE_A 726.600  770.900  732.100  356.900  845.000  577.000  322.400  678.400  545.000  585.500  319.600  443.300  548.000  305.000  501.000  824.700 
ag0000015195.fit 2022-11-25 23:06:19.915 PLATE_A 726.600  770.900  732.100  356.900  845.000  577.000  322.400  678.400  537.900  514.700  319.600  443.300  548.000  305.000  501.000  824.700 
ag0000015196.fit 2022-11-25 23:06:46.410 PLATE_A 726.600  770.900  732.100  356.900  845.000  577.000  322.400  678.400  536.200  495.800  319.600  443.300  548.000  305.000  501.000  824.700 
ag0000015201.fit 2022-11-25 23:15:30.767 PLATE_A 775.000  763.000  732.100  356.900  845.000  577.000  322.400  678.400  508.400  558.000  319.600  443.300  548.000  305.000  501.000  824.700 
ag0000015202.fit 2022-11-25 23:15:57.960 PLATE_A 775.000  763.000  732.100  356.900  845.000  577.000  322.400  678.400  536.200  495.600  319.600  443.300  548.000  305.000  501.000  824.700 
ag0000015203.fit 2022-11-25 23:17:01.368 PLATE_A 775.000  763.000  732.100  356.900  845.000  577.000  322.400  678.400  536.200  495.600  319.600  443.300  548.000  305.000  450.000  814.000 
ag0000015205.fit 2022-11-25 23:19:58.930 PLATE_A 676.000  761.000  681.000  347.000  845.000  577.000  272.000  671.000  509.000  555.000  319.600  443.300  548.000  305.000  450.000  814.000 
ag0000015207.fit 2022-11-25 23:21:27.209 PLATE_A 676.000  761.000  681.000  347.000  845.000  577.000  272.000  671.000  536.200  495.400  319.600  443.300  548.000  305.000  450.000  814.000 
ag0000015208.fit 2022-11-25 23:22:35.508 PLATE_A 676.000  761.000  679.000  353.000  845.000  577.000  272.000  671.000  536.200  495.400  319.600  443.300  548.000  305.000  450.000  814.000 
ag0000015210.fit 2022-11-25 23:35:43.359 PLATE_A 673.700  763.400  678.600  351.000  845.000  577.000  270.900  670.700  509.400  559.500  319.600  443.300  548.000  305.000  449.100  815.700 
ag0000015237.fit 2022-11-26 02:38:48.344 PLATE_A 674.600  762.100  679.500  349.700  845.000  577.000  271.800  669.500  510.300  558.300  319.600  443.300  548.000  305.000  450.000  814.600 
ag0000015246.fit 2022-11-26 03:23:35.342 PLATE_A 674.600  762.100  679.500  349.700  845.000  577.000  271.800  669.500  536.400  494.900  319.600  443.300  548.000  305.000  450.000  814.600 
ag0000015247.fit 2022-11-26 03:24:08.498 PLATE_A 682.200  755.200  687.100  342.700  845.000  577.000  279.300  662.700  517.900  551.300  319.600  443.300  548.000  305.000  457.500  807.800 
ag0000015269.fit 2022-11-26 05:40:34.990 PLATE_A 682.200  755.300  687.100  342.800  845.000  577.000  279.400  662.700  536.300  494.200  319.600  443.300  548.000  305.000  457.600  807.800 
ag0000015270.fit 2022-11-26 05:41:23.313 PLATE_A 683.900  755.300  688.800  343.000  845.000  577.000  281.200  662.600  519.900  551.300  319.600  443.300  548.000  305.000  459.300  807.700 
ag0000015311.fit 2022-11-26 23:26:05.533 PLATE_A 676.400  766.800  681.200  354.400  845.000  577.000  273.500  674.200  511.900  562.900  319.600  443.300  548.000  305.000  451.700  819.200 
ag0000015317.fit 2022-11-27 00:33:14.683 PLATE_A 680.700  764.100  685.600  351.700  845.000  577.000  277.800  671.400  516.400  560.200  319.600  443.300  548.000  305.000  456.000  816.400 
ag0000015372.fit 2022-11-28 23:25:06.663 PLATE_A 670.100  758.300  671.700  344.300  845.000  577.000  265.000  669.500  502.800  555.800  319.600  443.300  548.000  305.000  445.000  813.900 
ag0000015375.fit 2022-11-29 02:53:16.806 PLATE_A 680.500  752.200  682.100  338.200  845.000  577.000  275.500  663.400  513.300  549.800  319.600  443.300  548.000  305.000  455.400  807.800 
ag0000015411.fit 2022-11-29 21:25:19.261 PLATE_B 681.800  790.700  900.600  442.300  389.600  492.200  452.000  704.200  742.100  276.600  515.700  300.300  876.300  673.200  652.100  528.600 
ag0000015413.fit 2022-11-29 21:31:49.943 PLATE_B 685.500  789.600  904.300  441.300  393.300  491.100  452.000  704.200  745.900  275.600  515.700  300.300  880.000  672.200  655.800  527.700 
ag0000015473.fit 2022-11-30 03:29:47.865 PLATE_A 681.000  753.400  682.700  339.300  845.000  577.000  276.100  664.500  513.800  550.900  280.500  433.600  548.000  305.000  455.900  808.900 
ag0000015622.fit 2022-12-02 00:43:31.199 PLATE_B 681.700  792.200  900.500  443.900  389.500  493.700  452.000  704.200  742.000  278.100  515.700  301.900  876.200  674.800  651.900  530.300 
ag0000015725.fit 2022-12-03 02:25:57.237 PLATE_A 682.200  756.400  683.800  342.500  845.000  577.000  277.300  667.600  515.100  553.900  281.600  436.700  548.000  305.000  457.100  811.900 
ag0000015761.fit 2022-12-03 05:32:53.346 PLATE_A 685.500  762.300  687.100  348.200  845.000  577.000  280.500  673.400  518.300  559.800  284.900  442.500  548.000  305.000  460.400  817.800 
ag0000015936.fit 2022-12-23 03:27:10.467 PLATE_A 682.200  762.100  683.700  348.100  845.000  577.000  277.100  673.200  515.000  559.600  281.500  442.300  548.000  305.000  457.100  817.600 
ag0000015942.fit 2022-12-23 03:37:50.989 PLATE_A 683.500  761.700  684.700  349.300  845.000  577.000  278.000  674.500  515.900  560.800  282.400  443.500  548.000  305.000  458.000  818.900 
ag0000015943.fit 2022-12-23 03:40:02.146 PLATE_A 683.500  761.700  684.900  348.900  760.600  491.900  278.000  674.300  515.800  560.900  282.500  443.400  548.000  305.000  457.700  819.200 
ag0000015979.fit 2022-12-30 03:59:26.072 PLATE_A 680.600  756.900  682.200  342.800  760.600  491.900  275.500  668.000  513.400  554.400  279.900  437.100  548.000  305.000  455.400  812.500 
ag0000016036.fit 2023-01-03 23:08:50.977 PLATE_B 680.900  791.100  899.800  442.800  388.900  492.600  452.000  704.200  741.400  277.100  515.000  300.800  875.500  673.700  651.300  529.200 
ag0000016051.fit 2023-01-04 01:55:53.778 PLATE_A 674.800  760.900  676.300  346.900  760.600  491.900  269.700  672.100  507.600  558.500  274.100  441.200  548.000  305.000  449.600  816.500 
ag0000016053.fit 2023-01-04 01:58:01.555 PLATE_A 682.000  760.600  683.600  346.600  760.600  491.900  276.900  671.800  514.800  558.100  281.200  440.800  548.000  305.000  456.800  816.100 
ag0000016057.fit 2023-01-04 02:42:14.576 PLATE_B 677.800  790.900  896.800  442.600  388.900  492.600  452.000  704.200  738.300  276.900  511.900  300.600  872.400  673.500  651.300  529.200 
ag0000016086.fit 2023-01-04 05:36:41.562 PLATE_B 677.800  790.900  896.800  442.600  388.900  492.600  452.000  704.200  738.300  276.900  511.900  300.600  872.400  673.500  538.500  493.500 
ag0000016105.fit 2023-01-05 00:27:14.930 PLATE_A 678.900  756.000  680.500  341.900  760.600  491.900  273.900  667.100  511.800  553.500  278.200  436.200  548.000  305.000  453.800  811.500 
ag0000016107.fit 2023-01-05 00:28:25.740 PLATE_A 680.300  755.900  681.900  341.700  760.600  491.900  275.000  667.000  513.000  553.400  279.400  435.900  548.000  305.000  455.000  811.500 
ag0000016184.fit 2023-01-05 03:27:11.834 PLATE_B 681.800  790.500  900.700  442.200  388.900  492.600  452.000  704.200  742.200  276.500  515.800  300.300  876.400  673.200  538.500  493.500 
ag0000016189.fit 2023-01-05 03:28:49.375 PLATE_B 677.800  791.400  896.800  443.100  388.900  492.600  452.000  704.200  738.300  277.400  511.900  301.100  872.400  674.000  538.500  493.500 
ag0000016303.fit 2023-01-06 00:22:14.601 PLATE_A 678.900  755.300  680.500  341.300  760.600  491.900  273.900  666.400  511.700  552.800  278.200  435.500  548.000  305.000  453.800  810.800 
